sales_order_id,created_at,last_updated,design_id,staff_id,counterparty_id,units_sold,unit_price,currency_id,agreed_delivery_date,agreed_payment_date,agreed_delivery_location_id
2,2022-11-03 14:20:52.186,2022-11-03 14:20:52.186,3,19,8,42972,3.94,2,2022-11-07,2022-11-08,8
3,2022-11-03 14:20:52.188,2022-11-03 14:20:52.188,4,10,4,65839,2.91,3,2022-11-06,2022-11-07,19
4,2022-11-03 14:20:52.188,2022-11-03 14:20:52.188,4,10,16,32069,3.89,2,2022-11-05,2022-11-07,15
5,2022-11-03 14:20:52.186,2022-11-03 14:20:52.186,7,18,4,49659,2.41,3,2022-11-05,2022-11-08,25
6,2022-11-04 11:37:10.341,2022-11-04 11:37:10.341,3,13,18,83908,3.99,3,2022-11-04,2022-11-07,17
7,2022-11-04 12:57:09.926,2022-11-04 12:57:09.926,7,11,10,65453,2.89,2,2022-11-04,2022-11-09,28
8,2022-11-04 13:45:10.306,2022-11-04 13:45:10.306,2,11,20,20381,2.22,2,2022-11-06,2022-11-07,8
10,2022-11-07 09:07:10.485,2022-11-07 09:07:10.485,3,16,12,61620,3.86,2,2022-11-09,2022-11-10,20
11,2022-11-07 15:53:10.153,2022-11-07 15:53:10.153,9,14,12,35227,3.41,2,2022-11-08,2022-11-13,13
12,2022-11-09 10:20:09.912,2022-11-09 10:20:09.912,2,8,12,7693,3.88,2,2022-11-13,2022-11-11,15
13,2022-11-09 15:16:10.492,2022-11-09 15:16:10.492,7,3,7,2845,2.97,3,2022-11-16,2022-11-14,2
14,2022-11-10 13:18:09.926,2022-11-10 13:18:09.926,6,11,5,82159,2.65,3,2022-11-15,2022-11-14,6
15,2022-11-11 08:51:10.286,2022-11-11 08:51:10.286,9,7,10,74957,3.25,3,2022-11-12,2022-11-15,28
17,2022-11-15 08:46:09.873,2022-11-15 08:46:09.873,7,20,13,36220,2.00,3,2022-11-20,2022-11-19,9
19,2022-11-16 09:05:10.336,2022-11-16 09:05:10.336,13,13,10,41878,2.29,2,2022-11-17,2022-11-18,15
21,2022-11-17 11:47:09.942,2022-11-17 11:47:09.942,5,18,18,42135,3.63,3,2022-11-18,2022-11-18,27
22,2022-11-17 17:13:10.235,2022-11-17 17:13:10.235,4,7,11,92468,2.70,2,2022-11-20,2022-11-20,19
18,2022-11-16 08:17:10.016,2022-11-16 08:17:10.016,56,20,17,93380,2.95,2,2022-11-20,2022-11-20,2
25,2022-11-18 12:27:09.924,2022-11-18 12:27:09.924,4,16,15,19231,2.45,2,2022-11-22,2022-11-20,12
16,2022-11-14 15:32:10.333,2022-11-14 15:32:10.333,4,15,16,22626,2.55,3,2022-11-20,2022-11-20,29
26,2022-11-21 08:54:09.974,2022-11-21 08:54:09.974,4,17,13,74152,2.61,3,2022-11-25,2022-11-24,29
24,2022-11-18 11:32:10.363,2022-11-18 11:32:10.363,13,19,12,35424,3.75,3,2022-11-20,2022-11-19,28
28,2022-11-22 11:21:10.343,2022-11-22 11:21:10.343,4,13,10,69611,3.08,2,2022-11-24,2022-11-26,5
29,2022-11-22 12:23:10.271,2022-11-22 12:23:10.271,5,18,15,34227,2.88,3,2022-11-28,2022-11-23,15
30,2022-11-22 13:15:10.374,2022-11-22 13:15:10.374,2,16,12,39968,3.99,3,2022-11-26,2022-11-28,4
31,2022-11-22 16:42:10.511,2022-11-22 16:42:10.511,3,14,8,30606,2.11,2,2022-11-29,2022-11-23,28
27,2022-11-21 16:46:10.282,2022-11-21 16:46:10.282,6,15,15,42254,3.59,2,2022-11-27,2022-11-25,29
34,2022-11-24 08:22:10.2,2022-11-24 08:22:10.2,9,4,15,91411,3.92,3,2022-11-29,2022-11-28,21
68,2022-12-12 10:12:10.163,2022-12-12 10:12:10.163,13,17,5,24572,3.96,2,2022-12-17,2022-12-18,26
23,2022-11-18 08:44:10.251,2022-11-18 08:44:10.251,14,12,10,84270,3.52,2,2022-11-28,2022-11-19,28
36,2022-11-28 10:34:10.317,2022-11-28 10:34:10.317,15,16,19,16624,2.18,3,2022-12-03,2022-11-29,18
37,2022-11-29 12:16:10.126,2022-11-29 12:16:10.126,12,7,2,15341,2.98,3,2022-12-04,2022-12-01,10
9,2022-11-04 15:42:10.886,2022-11-04 15:42:10.886,9,17,15,72808,3.44,2,2022-11-10,2022-11-05,29
40,2022-11-30 10:11:10.435,2022-11-30 10:11:10.435,16,15,8,48999,3.46,3,2022-12-03,2022-12-02,30
41,2022-11-30 10:41:09.931,2022-11-30 10:41:09.931,10,16,8,64692,2.60,3,2022-11-30,2022-12-01,3
43,2022-11-30 15:28:10.633,2022-11-30 15:28:10.633,15,7,19,36219,2.17,3,2022-12-03,2022-12-04,28
45,2022-11-30 17:56:10.354,2022-11-30 17:56:10.354,17,13,19,78543,3.93,2,2022-12-02,2022-12-06,10
46,2022-12-01 08:47:10.394,2022-12-01 08:47:10.394,7,6,3,44358,2.14,2,2022-12-02,2022-12-06,24
47,2022-12-01 10:28:10.371,2022-12-01 10:28:10.371,21,7,4,94770,3.76,3,2022-12-05,2022-12-05,27
48,2022-12-01 13:38:10.594,2022-12-01 13:38:10.594,4,11,5,32565,3.31,2,2022-12-02,2022-12-04,28
49,2022-12-01 16:06:10.197,2022-12-01 16:06:10.197,2,11,5,99018,3.62,3,2022-12-01,2022-12-01,16
50,2022-12-01 16:23:10.18,2022-12-01 16:23:10.18,3,16,17,93352,3.04,2,2022-12-07,2022-12-05,10
51,2022-12-01 17:43:10.073,2022-12-01 17:43:10.073,6,3,15,10841,2.41,2,2022-12-02,2022-12-02,25
52,2022-12-02 09:21:10.173,2022-12-02 09:21:10.173,13,15,17,70084,2.28,2,2022-12-08,2022-12-05,8
54,2022-12-02 12:21:09.764,2022-12-02 12:21:09.764,2,12,17,38661,3.87,3,2022-12-04,2022-12-07,22
55,2022-12-02 14:05:10.169,2022-12-02 14:05:10.169,17,7,6,55012,2.43,3,2022-12-09,2022-12-06,11
56,2022-12-05 14:57:09.727,2022-12-05 14:57:09.727,11,9,4,73839,3.38,3,2022-12-09,2022-12-09,10
57,2022-12-05 18:14:10.35,2022-12-05 18:14:10.35,7,6,20,52026,2.22,3,2022-12-08,2022-12-06,24
58,2022-12-05 18:21:10.132,2022-12-05 18:21:10.132,15,3,4,11604,2.03,2,2022-12-09,2022-12-11,9
60,2022-12-06 14:43:10.177,2022-12-06 14:43:10.177,4,6,11,95044,2.06,3,2022-12-10,2022-12-11,3
65,2022-12-09 18:44:10.313,2022-12-09 18:44:10.313,29,13,20,74696,2.00,2,2022-12-11,2022-12-11,24
61,2022-12-07 09:49:10.51,2022-12-07 09:49:10.51,26,17,19,78083,2.61,3,2022-12-12,2022-12-11,9
33,2022-11-24 08:19:10.014,2022-11-24 08:19:10.014,5,6,7,12403,3.03,2,2022-11-27,2022-11-24,21
35,2022-11-25 13:10:10.345,2022-11-25 13:10:10.345,2,16,11,52800,2.88,2,2022-12-06,2022-11-27,23
62,2022-12-08 16:43:09.858,2022-12-08 16:43:09.858,4,2,6,91717,3.99,2,2022-12-12,2022-12-12,6
63,2022-12-09 08:02:10.562,2022-12-09 08:02:10.562,24,15,14,45984,2.31,2,2022-12-11,2022-12-10,28
64,2022-12-09 11:53:10.299,2022-12-09 11:53:10.299,16,3,18,13798,2.86,3,2022-12-12,2022-12-13,8
53,2022-12-02 11:42:10.242,2022-12-02 11:42:10.242,14,12,11,90339,3.04,2,2022-12-02,2022-12-03,17
66,2022-12-12 09:09:10.195,2022-12-12 09:09:10.195,22,3,16,30889,3.07,3,2022-12-15,2022-12-17,11
67,2022-12-12 09:24:12.874,2022-12-12 09:24:12.874,3,3,3,50043,3.46,2,2022-12-13,2022-12-14,16
69,2022-12-12 11:13:10.089,2022-12-12 11:13:10.089,7,5,11,4353,3.99,3,2022-12-13,2022-12-17,22
70,2022-12-12 11:32:09.981,2022-12-12 11:32:09.981,29,9,12,88469,3.01,3,2022-12-16,2022-12-15,7
71,2022-12-12 12:55:10.296,2022-12-12 12:55:10.296,25,7,6,59409,3.68,2,2022-12-16,2022-12-13,7
72,2022-12-12 17:50:10.202,2022-12-12 17:50:10.202,9,13,3,92491,3.17,3,2022-12-17,2022-12-16,14
73,2022-12-12 18:23:09.777,2022-12-12 18:23:09.777,9,20,18,46168,3.77,2,2022-12-14,2022-12-13,5
74,2022-12-13 09:51:10.395,2022-12-13 09:51:10.395,5,3,20,90827,2.91,3,2022-12-20,2022-12-18,26
75,2022-12-13 11:06:09.753,2022-12-13 11:06:09.753,27,17,17,50434,2.67,2,2022-12-17,2022-12-18,8
20,2022-11-17 09:52:10.749,2022-11-17 09:52:10.749,12,9,17,41059,2.96,2,2022-12-22,2022-11-19,26
38,2022-11-29 14:34:10.16,2022-11-29 14:34:10.16,3,19,6,78190,2.14,2,2022-12-05,2022-11-29,4
59,2022-12-06 10:27:10.432,2022-12-06 10:27:10.432,15,16,19,84294,2.65,2,2023-01-17,2022-12-10,30
44,2022-11-30 16:03:10.369,2022-11-30 16:03:10.369,5,8,2,95017,3.78,3,2022-12-02,2022-12-04,29
1,2022-11-03 14:20:52.186,2022-11-03 14:20:52.186,9,13,18,84754,2.43,3,2022-11-10,2022-11-03,4
32,2022-11-23 16:24:10.261,2022-11-23 16:24:10.261,10,18,4,80203,3.40,2,2022-11-26,2022-11-27,19
76,2022-12-13 12:47:10.479,2022-12-13 12:47:10.479,9,13,19,26453,2.49,3,2022-12-13,2022-12-14,5
77,2022-12-13 13:05:09.885,2022-12-13 13:05:09.885,13,7,12,1086,3.14,3,2022-12-16,2022-12-15,15
78,2022-12-13 15:17:10.259,2022-12-13 15:17:10.259,17,19,9,10674,3.37,3,2022-12-14,2022-12-18,28
80,2022-12-13 15:47:10.282,2022-12-13 15:47:10.282,5,10,5,27304,3.87,3,2022-12-18,2022-12-19,5
82,2022-12-13 15:52:09.823,2022-12-13 15:52:09.823,24,11,15,70466,2.34,2,2022-12-17,2022-12-13,9
83,2022-12-13 17:13:10.452,2022-12-13 17:13:10.452,23,18,4,88895,2.46,3,2022-12-16,2022-12-14,20
84,2022-12-13 18:29:10.133,2022-12-13 18:29:10.133,12,10,7,29224,3.27,2,2022-12-19,2022-12-17,16
7738,2024-04-11 09:12:09.935,2024-04-11 09:12:09.935,313,19,13,63560,2.00,2,2024-04-17,2024-04-12,8
86,2022-12-14 09:11:10.295,2022-12-14 09:11:10.295,3,13,10,95492,3.37,3,2022-12-15,2022-12-18,21
87,2022-12-14 09:55:10.639,2022-12-14 09:55:10.639,23,4,9,1653,3.91,2,2022-12-19,2022-12-17,18
88,2022-12-14 10:02:10.137,2022-12-14 10:02:10.137,11,18,16,58820,2.74,2,2022-12-15,2022-12-16,26
89,2022-12-14 10:12:10.357,2022-12-14 10:12:10.357,23,8,4,31543,2.15,2,2022-12-20,2022-12-19,17
90,2022-12-14 10:21:10.105,2022-12-14 10:21:10.105,24,3,5,4797,2.86,2,2022-12-15,2022-12-19,15
91,2022-12-14 10:24:09.763,2022-12-14 10:24:09.763,19,4,7,81477,3.60,3,2022-12-18,2022-12-16,5
92,2022-12-14 15:00:10.409,2022-12-14 15:00:10.409,24,14,10,39034,3.15,2,2022-12-15,2022-12-20,5
93,2022-12-14 17:22:10.534,2022-12-14 17:22:10.534,15,8,3,80804,3.02,2,2022-12-19,2022-12-19,8
94,2022-12-14 17:28:10.177,2022-12-14 17:28:10.177,19,14,20,36531,3.25,2,2022-12-14,2022-12-20,15
95,2022-12-14 17:47:10.159,2022-12-14 17:47:10.159,20,9,2,18635,3.75,2,2022-12-17,2022-12-15,19
96,2022-12-15 08:41:10.174,2022-12-15 08:41:10.174,23,2,13,40943,2.44,2,2022-12-21,2022-12-16,16
97,2022-12-15 10:54:10.487,2022-12-15 10:54:10.487,13,4,13,61590,3.80,3,2022-12-16,2022-12-16,2
98,2022-12-15 10:57:09.998,2022-12-15 10:57:09.998,7,20,13,27752,2.68,3,2022-12-17,2022-12-16,8
99,2022-12-15 11:51:09.876,2022-12-15 11:51:09.876,5,8,3,15311,3.87,3,2022-12-18,2022-12-21,17
101,2022-12-15 12:04:10.055,2022-12-15 12:04:10.055,15,17,10,64517,3.39,2,2022-12-16,2022-12-17,5
102,2022-12-15 12:35:10.412,2022-12-15 12:35:10.412,5,15,16,50853,3.57,2,2022-12-21,2022-12-21,27
5220,2023-11-14 18:35:09.824,2023-11-14 18:35:09.824,19,10,10,56109,2.63,3,2023-11-17,2023-11-20,8
104,2022-12-15 13:23:10.138,2022-12-15 13:23:10.138,23,5,3,65639,2.22,3,2022-12-17,2022-12-20,10
